[3, 4, 2, 4], 5 guesses, 99 seconds
[4, 5, 3, 0], 6 guesses, 0 seconds
[1, 2, 5, 5], 4 guesses, 30 seconds
[7, 0, 5, 7], 6 guesses, 86 seconds
[4, 5, 6, 6], 7 guesses, 99 seconds
[3, 7, 6, 5], 5 guesses, 30 seconds
[4, 4, 7, 3], 5 guesses, 98 seconds
[5, 0, 5, 0], 5 guesses, 86 seconds
[1, 2, 5, 1], 5 guesses, 86 seconds
[6, 5, 7, 1], 5 guesses, 87 seconds
[0, 4, 1, 6], 6 guesses, 30 seconds
[3, 4, 0, 0], 5 guesses, 86 seconds
[7, 5, 0, 6], 6 guesses, 87 seconds
[5, 0, 1, 0], 6 guesses, 1 seconds
[6, 1, 5, 1], 5 guesses, 31 seconds
[6, 7, 5, 6], 6 guesses, 98 seconds
[2, 0, 7, 0], 6 guesses, 98 seconds
[6, 4, 3, 0], 5 guesses, 30 seconds
[0, 0, 7, 3], 5 guesses, 30 seconds
[1, 3, 5, 0], 4 guesses, 0 seconds
[0, 0, 4, 4], 6 guesses, 13 seconds
[2, 4, 4, 6], 5 guesses, 2 seconds
[0, 1, 6, 4], 5 guesses, 1 seconds
[0, 2, 2, 6], 4 guesses, 13 seconds
[1, 4, 6, 3], 5 guesses, 86 seconds
[2, 2, 6, 6], 5 guesses, 1 seconds
[5, 7, 1, 1], 6 guesses, 84 seconds
[0, 7, 0, 2], 5 guesses, 12 seconds
[4, 7, 6, 0], 3 guesses, 95 seconds
[7, 1, 6, 7], 5 guesses, 12 seconds
[2, 5, 1, 7], 5 guesses, 84 seconds
[2, 4, 7, 5], 5 guesses, 12 seconds
[2, 1, 4, 0], 6 guesses, 29 seconds
[2, 5, 5, 7], 5 guesses, 95 seconds
[0, 6, 5, 4], 6 guesses, 29 seconds
[6, 1, 4, 6], 5 guesses, 12 seconds
[2, 0, 3, 4], 7 guesses, 28 seconds
[0, 7, 6, 1], 5 guesses, 28 seconds
[1, 2, 0, 3], 5 guesses, 1 seconds
[2, 4, 4, 3], 4 guesses, 95 seconds
[6, 1, 6, 2], 6 guesses, 12 seconds
[5, 5, 6, 4], 6 guesses, 95 seconds
[2, 1, 2, 4], 5 guesses, 12 seconds
[0, 4, 3, 2], 4 guesses, 0 seconds
[0, 3, 5, 4], 4 guesses, 0 seconds
[0, 7, 1, 6], 5 guesses, 28 seconds
[3, 4, 3, 3], 5 guesses, 12 seconds
[7, 6, 4, 5], 6 guesses, 12 seconds
[3, 0, 7, 0], 4 guesses, 84 seconds
[7, 6, 4, 4], 5 guesses, 1 seconds
[4, 4, 1, 4], 5 guesses, 95 seconds
[6, 2, 0, 2], 6 guesses, 95 seconds
[0, 1, 1, 0], 6 guesses, 1 seconds
[0, 0, 1, 0], 6 guesses, 28 seconds
[1, 5, 5, 5], 5 guesses, 28 seconds
[5, 4, 7, 2], 5 guesses, 95 seconds
[3, 3, 0, 2], 5 guesses, 85 seconds
[7, 0, 1, 1], 5 guesses, 87 seconds
[1, 6, 5, 3], 5 guesses, 1 seconds
[6, 2, 7, 1], 6 guesses, 97 seconds
[4, 5, 7, 1], 7 guesses, 87 seconds
[6, 2, 6, 5], 6 guesses, 13 seconds
[6, 5, 4, 2], 4 guesses, 98 seconds
[7, 2, 7, 7], 4 guesses, 1 seconds
[0, 0, 0, 5], 5 guesses, 1 seconds
[4, 5, 1, 4], 4 guesses, 86 seconds
[4, 7, 3, 0], 4 guesses, 30 seconds
[5, 2, 7, 6], 5 guesses, 98 seconds
[1, 7, 4, 3], 5 guesses, 87 seconds
[1, 3, 6, 5], 6 guesses, 0 seconds
[0, 0, 1, 4], 5 guesses, 30 seconds
[3, 0, 6, 0], 5 guesses, 86 seconds
[5, 5, 2, 2], 5 guesses, 97 seconds
[4, 2, 4, 3], 6 guesses, 97 seconds
[7, 3, 4, 3], 5 guesses, 98 seconds
[1, 7, 4, 6], 5 guesses, 98 seconds
[6, 6, 2, 3], 5 guesses, 98 seconds
[7, 5, 7, 6], 8 guesses, 98 seconds
[6, 5, 3, 1], 5 guesses, 1 seconds
[5, 3, 0, 6], 6 guesses, 1 seconds
[3, 3, 4, 3], 4 guesses, 97 seconds
[1, 5, 1, 0], 6 guesses, 1 seconds
[3, 1, 7, 4], 4 guesses, 31 seconds
[4, 4, 4, 7], 4 guesses, 1 seconds
[7, 4, 2, 4], 5 guesses, 1 seconds
[1, 1, 1, 6], 6 guesses, 13 seconds
[1, 4, 2, 3], 5 guesses, 87 seconds
[4, 4, 7, 4], 4 guesses, 2 seconds
[5, 4, 3, 5], 4 guesses, 1 seconds
[6, 6, 0, 7], 5 guesses, 97 seconds
[1, 7, 5, 3], 7 guesses, 1 seconds
[4, 1, 1, 6], 4 guesses, 13 seconds
[7, 2, 2, 4], 4 guesses, 1 seconds
[2, 7, 1, 7], 5 guesses, 97 seconds
[0, 4, 5, 4], 5 guesses, 31 seconds
[3, 3, 1, 7], 6 guesses, 87 seconds
[4, 4, 2, 5], 5 guesses, 13 seconds
[0, 4, 6, 1], 5 guesses, 29 seconds
[4, 2, 1, 5], 6 guesses, 30 seconds
[3, 4, 5, 6], 5 guesses, 86 seconds
[2, 6, 5, 2], 5 guesses, 97 seconds
[0, 4, 3, 0], 5 guesses, 1 seconds
[1, 2, 2, 6], 4 guesses, 98 seconds
[6, 7, 1, 5], 7 guesses, 31 seconds
[0, 3, 1, 6], 5 guesses, 1 seconds
[7, 3, 6, 2], 6 guesses, 97 seconds
[3, 1, 6, 7], 5 guesses, 30 seconds
[4, 2, 7, 0], 4 guesses, 97 seconds
[0, 4, 7, 5], 5 guesses, 1 seconds
[7, 4, 1, 6], 6 guesses, 98 seconds
[1, 2, 0, 1], 5 guesses, 84 seconds
[6, 5, 6, 1], 6 guesses, 84 seconds
[1, 2, 6, 0], 4 guesses, 83 seconds
[3, 0, 4, 7], 5 guesses, 84 seconds
[3, 7, 4, 5], 7 guesses, 28 seconds
[3, 3, 1, 3], 6 guesses, 84 seconds
[3, 0, 0, 6], 6 guesses, 84 seconds
[1, 0, 2, 3], 5 guesses, 1 seconds
[7, 1, 2, 1], 6 guesses, 12 seconds
[6, 5, 6, 4], 6 guesses, 95 seconds
[7, 2, 7, 5], 4 guesses, 12 seconds
[0, 3, 5, 3], 4 guesses, 0 seconds
[1, 2, 5, 2], 5 guesses, 83 seconds
[7, 1, 4, 3], 6 guesses, 28 seconds
[6, 4, 5, 2], 6 guesses, 95 seconds
[3, 0, 6, 3], 5 guesses, 84 seconds
[4, 1, 7, 3], 7 guesses, 28 seconds
[1, 6, 7, 3], 6 guesses, 84 seconds
[2, 7, 0, 2], 5 guesses, 95 seconds
[5, 0, 0, 7], 6 guesses, 84 seconds
[3, 2, 5, 6], 5 guesses, 84 seconds
[5, 7, 0, 1], 5 guesses, 1 seconds
[5, 5, 0, 3], 5 guesses, 1 seconds
[7, 1, 0, 5], 4 guesses, 0 seconds
[0, 1, 5, 1], 4 guesses, 0 seconds
[6, 5, 3, 5], 4 guesses, 0 seconds
[0, 3, 0, 0], 6 guesses, 28 seconds
[4, 5, 7, 4], 4 guesses, 95 seconds
[0, 4, 1, 4], 7 guesses, 28 seconds
[2, 1, 1, 5], 5 guesses, 0 seconds
[1, 2, 0, 0], 6 guesses, 84 seconds
[5, 5, 3, 7], 5 guesses, 28 seconds
[1, 1, 5, 5], 6 guesses, 0 seconds
[2, 1, 4, 6], 3 guesses, 12 seconds
[7, 1, 1, 1], 5 guesses, 12 seconds
[6, 3, 0, 1], 5 guesses, 1 seconds
[3, 1, 5, 5], 5 guesses, 0 seconds
[4, 4, 1, 7], 5 guesses, 95 seconds
[0, 0, 6, 7], 6 guesses, 12 seconds
[1, 0, 1, 5], 3 guesses, 0 seconds
[5, 5, 3, 5], 4 guesses, 0 seconds
[5, 1, 3, 7], 5 guesses, 0 seconds
[3, 2, 7, 3], 6 guesses, 96 seconds
[1, 4, 1, 5], 7 guesses, 28 seconds
[3, 1, 0, 5], 5 guesses, 0 seconds
[7, 4, 1, 0], 7 guesses, 84 seconds
[0, 4, 4, 3], 6 guesses, 28 seconds
[6, 3, 2, 7], 6 guesses, 96 seconds
[0, 2, 1, 6], 5 guesses, 28 seconds
[0, 4, 0, 5], 4 guesses, 0 seconds
[0, 0, 6, 4], 4 guesses, 12 seconds
[7, 4, 5, 5], 5 guesses, 12 seconds
[2, 2, 3, 3], 6 guesses, 12 seconds
[2, 3, 2, 7], 6 guesses, 95 seconds
[4, 3, 0, 1], 5 guesses, 1 seconds
[6, 1, 3, 7], 6 guesses, 0 seconds
[0, 6, 5, 6], 6 guesses, 29 seconds
[6, 6, 5, 3], 5 guesses, 83 seconds
[6, 1, 2, 6], 5 guesses, 12 seconds
[4, 1, 1, 3], 6 guesses, 28 seconds
[1, 4, 4, 3], 5 guesses, 84 seconds
[5, 1, 3, 2], 4 guesses, 0 seconds
[7, 5, 7, 7], 5 guesses, 95 seconds
[3, 3, 2, 3], 4 guesses, 94 seconds
[1, 4, 6, 7], 6 guesses, 95 seconds
[7, 2, 3, 7], 7 guesses, 12 seconds
[4, 7, 7, 3], 5 guesses, 95 seconds
[6, 1, 0, 3], 8 guesses, 0 seconds
[3, 5, 6, 3], 7 guesses, 84 seconds
[4, 3, 3, 7], 5 guesses, 12 seconds
[5, 3, 2, 2], 5 guesses, 84 seconds
[0, 2, 5, 0], 6 guesses, 28 seconds
[2, 6, 1, 1], 5 guesses, 95 seconds
[1, 7, 5, 2], 6 guesses, 84 seconds
[1, 6, 1, 1], 4 guesses, 95 seconds
[4, 3, 2, 0], 6 guesses, 85 seconds
